-11450,-137608,-237059,557007,754107,-1297080,775967,2051537,-4584918,3164115,4029259,-12298326,12236510,2344479,-24860203,35570021,-15156848,-34650044,80960270,-74236558,-15700758,164425143,-281749554,203156822,1478561026,862261443,-287159948,-3179154,126936492,-117273043,41171725,29080159,-53101474,33915278,-598871,-19598207,18558341,-5649038,-5312122,7619295,-3485736,-1013355,2526865,-1178334,-135929,958208,-11056,-232053,-44715,-820,
-11026,-135381,-239396,545242,767835,-1284390,728558,2098371,-4555906,3021698,4201971,-12305937,11931453,2849079,-25139947,35158947,-14028434,-35778007,80901666,-72236002,-18929058,166252611,-278141427,189373958,1472405669,877648384,-283122948,-8670855,129710915,-116985918,39354587,30659888,-53546004,33395390,166470,-20016333,18503479,-5361781,-5537292,7659829,-3403598,-1099086,2552379,-1158346,-161333,963256,-2785,-233855,-45910,-877,
-10613,-133166,-241614,533446,781180,-1271130,681225,2143775,-4524723,2878709,4371284,-12306870,11621775,3349215,-25404371,34730759,-12898244,-36880243,80798552,-70206712,-22126581,167974043,-274414843,175722272,1465987008,892966558,-278876614,-14204164,132431566,-116631741,37505473,32230981,-53963162,32854234,935923,-20425840,18438176,-5069811,-5760954,7696556,-3319037,-1184901,2576832,-1137557,-186813,968027,5617,-235619,-47126,-937,
-10212,-130963,-243713,521626,794138,-1257312,633993,2187736,-4491401,2735229,4537130,-12301168,11307674,3844639,-25653415,34285785,-11766912,-37956278,80651225,-68149969,-25291770,169589302,-270572908,162205222,1459307210,908211137,-274420432,-19776470,135096590,-116210310,35625233,33792520,-54352572,32291995,1709087,-20826454,18362405,-4773259,-5982977,7729430,-3232082,-1270757,2600201,-1115968,-212359,972516,14150,-237343,-48365,-1000,
-9824,-128773,-245696,509787,806709,-1242947,586884,2230245,-4455976,2591338,4699443,-12288877,10989347,4335106,-25887029,33824361,-10635068,-39005658,80460007,-66067062,-28423098,171098308,-266618753,148826198,1452368524,923377304,-269753972,-25385123,137704148,-115721455,33714737,35343584,-54713869,31708871,2485553,-21217902,18276145,-4472259,-6203227,7758406,-3142761,-1356608,2622465,-1093585,-237959,976718,22810,-239027,-49625,-1067,
-9446,-126596,-247562,497932,818890,-1228047,539923,2271290,-4418481,2447116,4858159,-12270046,10666994,4820378,-26105169,33346831,-9503340,-40027942,80225239,-63959287,-31519063,172501037,-262555531,135588527,1445173287,938460255,-264876881,-31027433,140252421,-115165044,31774877,36883257,-55046703,31105074,3264909,-21599915,18179379,-4166947,-6421574,7783441,-3051103,-1442409,2643603,-1070411,-263602,980628,31598,-240668,-50908,-1137,
-9080,-124433,-249315,486068,830681,-1212624,493130,2310864,-4378952,2302642,5013219,-12244728,10340816,5300218,-26307804,32853545,-8372352,-41022710,79947286,-61827945,-34578192,173797520,-258386419,122495466,1437723922,953455203,-259788888,-36700671,142739610,-114540981,29806565,38410623,-55350738,30480827,4046739,-21972229,18072100,-3857463,-6637887,7804492,-2957141,-1528114,2663593,-1046452,-289276,984241,40513,-242264,-52213,-1210,
-8726,-122285,-250954,474198,842079,-1196690,446530,2348958,-4337427,2157996,5164563,-12212978,10011013,5774395,-26494908,32344862,-7242726,-41989557,79626534,-59674344,-37599041,174987844,-254114616,109550204,1430022934,968357377,-254489804,-42402070,145163935,-113849205,27810735,39924766,-55625652,29836367,4830626,-22334581,17954301,-3543951,-6852033,7821521,-2860907,-1613678,2682417,-1021712,-314970,987552,49551,-243815,-53540,-1287,
-8382,-120152,-252482,462327,853084,-1180257,400143,2385564,-4293942,2013255,5312136,-12174855,9677788,6242682,-26666465,31821144,-6115078,-42928098,79263392,-57499797,-40580196,176072149,-249743339,96755860,1422072912,983162026,-248979518,-48128827,147523639,-113089693,25788342,41424775,-55871138,29171943,5616145,-22686716,17825986,-3226556,-7063882,7834490,-2762435,-1699054,2700052,-996197,-340671,990557,58712,-245319,-54890,-1368,
-8048,-118034,-253901,450460,863695,-1163339,353993,2420676,-4248536,1868498,5455884,-12130421,9341344,6704858,-26822469,31282763,-4990019,-43837963,78858287,-55305620,-43520273,177050632,-245275823,84115485,1413876526,997864421,-243258005,-53878101,149816987,-112262458,23740360,42909742,-56086901,28487815,6402871,-23028379,17687162,-2905429,-7273304,7843364,-2661762,-1784196,2716481,-969913,-366367,993251,67995,-246774,-56262,-1452,
-7725,-115932,-255211,438602,873912,-1145947,308099,2454288,-4201246,1723801,5595756,-12079740,9001884,7160705,-26962920,30730094,-3868158,-44718801,78411671,-53093132,-46417918,177923540,-240715320,71632055,1405436527,1012459853,-237325321,-59647018,152042267,-111367550,21667782,44378760,-56272666,27784257,7190375,-23359324,17537843,-2580721,-7480168,7848107,-2558925,-1869056,2731684,-942867,-392047,995629,77397,-248178,-57656,-1541,
-7413,-113847,-256414,426757,883733,-1128094,262485,2486396,-4152114,1579243,5731703,-12022881,8659611,7610010,-27087830,30163520,-2750097,-45570279,77924012,-50863656,-49271808,178691178,-236065096,59308476,1396755747,1026943643,-231181604,-65432672,154197794,-110405057,19571620,45830928,-56428168,27061555,7978225,-23679304,17378047,-2252588,-7684344,7848690,-2453963,-1953589,2745642,-915065,-417699,997687,86917,-249530,-59073,-1633,
-7110,-111779,-257511,414928,893159,-1109793,217170,2516995,-4101178,1434898,5863680,-11959914,8314729,8052566,-27197216,29583428,-1636432,-46392083,77395802,-48618516,-52080653,179353899,-231328433,47147580,1387837095,1041311133,-224827075,-71232120,156281907,-109375104,17452906,47265349,-56553160,26320008,8765986,-23988082,17207801,-1921188,-7885705,7845081,-2346915,-2037746,2758337,-886516,-443309,999421,96552,-250828,-60513,-1730,
-6817,-109727,-258505,403122,902189,-1091056,172175,2546082,-4048480,1290842,5991641,-11890913,7967442,8488169,-27291105,28990213,-527757,-47183914,76827551,-46359037,-54843194,179912111,-226508621,35152123,1378683558,1055557697,-218262041,-77042393,158292972,-108277854,15312689,48681131,-56647411,25559925,9553222,-24285422,17027135,-1586681,-8084120,7837254,-2237825,-2121480,2769753,-857226,-468865,1000826,106302,-252071,-61975,-1831,
-6533,-107694,-259396,391341,910823,-1071897,127521,2573654,-3994061,1147151,6115547,-11815955,7617955,8916622,-27369533,28384271,575345,-47945494,76219787,-44086546,-57558205,180366274,-221608964,23324789,1369298198,1069678739,-211486888,-82860488,160229384,-107113506,13152036,50077388,-56710706,24781628,10339495,-24571095,16836087,-1249233,-8279464,7825182,-2126734,-2204744,2779871,-827205,-494355,1001898,116163,-253257,-63459,-1937,
-6259,-105679,-260187,379591,919063,-1052329,83226,2599711,-3937963,1003898,6235357,-11735118,7266472,9337732,-27432543,27766006,1672293,-48676562,75573058,-41802367,-60224492,180716899,-216632771,11668184,1359684154,1083669695,-204502090,-88683374,162089566,-105882298,10972031,51453239,-56742843,23985452,11124362,-24844876,16634699,-909008,-8471609,7808844,-2013688,-2287490,2788676,-796461,-519766,1002634,126133,-254384,-64967,-2047,
-5993,-103682,-260879,367874,926907,-1032364,39311,2624252,-3880228,861155,6351037,-11648485,6913196,9751311,-27480188,27135827,2762515,-49376876,74887933,-39507825,-62840898,180964546,-211583362,184838,1349844637,1097526034,-197308202,-94507995,163871970,-104584506,8773775,52807810,-56743641,23171743,11907382,-25106547,16423022,-566177,-8660429,7788216,-1898732,-2369670,2796150,-765003,-545086,1003028,136211,-255450,-66497,-2163,
-5737,-101704,-261473,356196,934358,-1012015,-4206,2647276,-3820900,718997,6462552,-11556140,6558330,10157177,-27512528,26494145,3845444,-50046211,74164995,-37204243,-65406296,181109826,-206464061,-11122797,1339782930,1111243263,-189905865,-100331264,165575081,-103220444,6558385,54140235,-56712931,22340857,12688111,-25355894,16201109,-220910,-8845799,7763281,-1781914,-2451236,2802280,-732841,-570301,1003078,146394,-256454,-68049,-2283,
-5489,-99745,-261972,344560,941415,-991297,-47305,2668784,-3760023,577493,6569872,-11458171,6202079,10555153,-27529631,25841376,4920522,-50684362,73404846,-34892941,-67919594,181153399,-201278197,-22252345,1329502388,1124816924,-182295803,-106150071,167197415,-101790463,4326994,55449655,-56650563,21493164,13466104,-25592708,15969023,126618,-9027597,7734022,-1663282,-2532141,2807050,-699985,-595399,1002780,156680,-257395,-69624,-2408,
-5250,-97806,-262376,332970,948079,-970222,-89969,2688778,-3697640,436715,6672966,-11354666,5844645,10945067,-27531574,25177940,5987195,-51291140,72608107,-32575235,-70379738,181095975,-196029099,-33201511,1319006436,1138242601,-174478826,-111961284,168737519,-100294954,2080750,56735218,-56556403,20629043,14240915,-25816788,15726831,476231,-9205698,7700423,-1542887,-2612335,2810446,-666446,-620366,1002129,167066,-258270,-71222,-2539,
-5019,-95887,-262687,321431,954353,-948804,-132179,2707261,-3633795,296733,6771809,-11245719,5486230,11326754,-27518440,24504262,7044922,-51866377,71775414,-30252440,-72785706,180938311,-190720102,-43968078,1308298565,1151515917,-166455826,-117761746,170193977,-98734343,-179186,57996083,-56430335,19748886,15012096,-26027938,15474605,827752,-9379982,7662473,-1420780,-2691772,2812454,-632236,-645189,1001123,177550,-259077,-72842,-2675,
-4796,-93987,-262908,309944,960237,-927055,-173918,2724235,-3568535,157614,6866378,-11131423,5127035,11700052,-27490322,23820768,8093164,-52409921,70907421,-27925863,-75136512,180681210,-185354537,-54549909,1297382336,1164632539,-158227781,-123548278,171565406,-97109096,-2451637,59231417,-56272259,18853095,15779202,-26225966,15212425,1180998,-9550329,7620162,-1297013,-2770404,2813062,-597364,-669856,999759,188129,-259816,-74484,-2816,
-4581,-92108,-263039,298515,965732,-904989,-215169,2739705,-3501904,19428,6956650,-11011875,4767262,12064807,-27447320,23127888,9131394,-52921640,70004795,-25596808,-77431206,180325524,-179935735,-64944948,1286261372,1177588178,-149795752,-129317682,172850458,-95419718,-4735412,60440395,-56082093,17942085,16541785,-26410689,14940375,1535788,-9716620,7573482,-1171641,-2848181,2812256,-561844,-694353,998032,198801,-260484,-76148,-2964,
-4373,-90250,-263083,287147,970840,-882620,-255916,2753675,-3433948,-117759,7042608,-10887174,4407108,12420869,-27389541,22426055,10159092,-53401420,69068222,-23266572,-79668874,179872150,-174467024,-75151219,1274939363,1190378593,-141160885,-135066742,174047823,-93666749,-7029310,61622206,-55859772,17016277,17299397,-26581928,14658548,1891936,-9878737,7522427,-1044718,-2925057,2810026,-525688,-718668,995940,209562,-261080,-77835,-3117,
-4173,-88412,-263041,275844,975564,-859961,-296141,2766151,-3364713,-253882,7124234,-10757422,4046774,12768094,-27317100,21715705,11175746,-53849163,68098401,-20936447,-81848639,179322028,-168951726,-85166829,1263420060,1202999589,-132324410,-140792224,175156227,-91850770,-9332115,62776045,-55605248,16076108,18051591,-26739514,14367040,2249255,-10036564,7466995,-916302,-3000984,2806360,-488908,-742785,993480,220410,-261602,-79544,-3277,
